point_1,point_2,u_sol,feas
-3,-3,NaN,0
-2.95,-3,NaN,0
-2.9,-3,NaN,0
-2.85,-3,NaN,0
-2.8,-3,NaN,0
-2.75,-3,NaN,0
-2.7,-3,NaN,0
-2.65,-3,NaN,0
-2.6,-3,NaN,0
-2.55,-3,NaN,0
-2.5,-3,NaN,0
-2.45,-3,NaN,0
-2.4,-3,NaN,0
-2.35,-3,NaN,0
-2.3,-3,NaN,0
-2.25,-3,NaN,0
-2.2,-3,NaN,0
-2.15,-3,NaN,0
-2.1,-3,NaN,0
-2.05,-3,NaN,0
-2,-3,NaN,0
-1.95,-3,1.99499999997124,1
-1.9,-3,1.99499999995057,1
-1.85,-3,1.99499995385851,1
-1.8,-3,1.99499998046913,1
-1.75,-3,1.99499998986682,1
-1.7,-3,1.9949999927926,1
-1.65,-3,1.9949999939118,1
-1.6,-3,1.99499999344281,1
-1.55,-3,1.99499999157147,1
-1.5,-3,1.99499998917216,1
-1.45,-3,1.99499998582301,1
-1.4,-3,1.99499999999089,1
-1.35,-3,1.99499999998846,1
-1.3,-3,1.99499999998544,1
-1.25,-3,1.99499999998145,1
-1.2,-3,1.99499999997564,1
-1.15,-3,1.99499999998944,1
-1.1,-3,1.99499999997618,1
-1.05,-3,1.99499999994908,1
-1,-3,1.9949999998968,1
-0.95,-3,1.99499999999907,1
-0.9,-3,1.99499999998869,1
-0.85,-3,1.99499999999993,1
-0.8,-3,1.99499999999921,1
-0.75,-3,1.99499999999992,1
-0.7,-3,1.9949999999999,1
-0.65,-3,1.99499999999454,1
-0.6,-3,1.99499999999999,1
-0.55,-3,1.99499999999845,1
-0.5,-3,1.99499999999716,1
-0.45,-3,1.99499999999967,1
-0.4,-3,1.99499999999996,1
-0.35,-3,1.99499999999155,1
-0.3,-3,1.99499999973365,1
-0.25,-3,1.99499999984939,1
-0.2,-3,1.99499999991837,1
-0.15,-3,1.99499999995759,1
-0.0999999999999996,-3,1.99499999997889,1
-0.0499999999999998,-3,1.99499999998994,1
0,-3,1.99499999999542,1
0.0499999999999998,-3,1.99499999999802,1
0.0999999999999996,-3,1.99499999998974,1
0.15,-3,1.99499999999221,1
0.2,-3,1.99499999999408,1
0.25,-3,1.99499999999554,1
0.3,-3,1.9949999999967,1
0.35,-3,1.99499999999763,1
0.4,-3,1.99499999668986,1
0.45,-3,1.99499999777327,1
0.5,-3,1.99499999856445,1
0.55,-3,1.99499999911946,1
0.6,-3,1.99499999958281,1
0.65,-3,1.99499999978054,1
0.7,-3,1.99499999983295,1
0.75,-3,1.99499999990242,1
0.8,-3,1.99499999993855,1
0.85,-3,1.99499999996078,1
0.9,-3,1.99499999997473,1
0.95,-3,1.99499999998432,1
1,-3,1.99499999999175,1
1.05,-3,1.99499999433943,1
1.1,-3,1.99499999920722,1
1.15,-3,1.99499999992951,1
1.2,-3,1.99499991284608,1
1.25,-3,1.99499976479831,1
1.3,-3,1.99499989082739,1
1.35,-3,1.9949999991063,1
1.4,-3,1.99499998794121,1
1.45,-3,1.99499999220033,1
1.5,-3,1.99499999501457,1
1.55,-3,1.99499892445109,1
1.6,-3,1.96978677320582,1
1.65,-3,1.93943738406551,1
1.7,-3,1.90908811618912,1
1.75,-3,1.87873881824713,1
1.8,-3,1.84838935109205,1
1.85,-3,1.81803994286331,1
1.9,-3,1.78769077765435,1
1.95,-3,1.75734151538694,1
2,-3,1.72699221692529,1
2.05,-3,1.69664290534412,1
2.1,-3,1.66629358929089,1
2.15,-3,1.63594427180443,1
2.2,-3,1.60559495379316,1
2.25,-3,1.57524563560974,1
2.3,-3,1.54489631734689,1
2.35,-3,1.51454699903876,1
2.4,-3,1.48419762047348,1
2.45,-3,1.45384835196109,1
2.5,-3,1.42349906175876,1
2.55,-3,1.39314976492612,1
2.6,-3,1.36280046653377,1
2.65,-3,1.33245116819379,1
2.7,-3,1.30210187124314,1
2.75,-3,1.27175245212682,1
2.8,-3,1.24140313375915,1
2.85,-3,1.2110538154145,1
2.9,-3,1.18070449708075,1
2.95,-3,1.15035517875672,1
3,-3,1.12000586044472,1
-3,-2.95,NaN,0
-2.95,-2.95,NaN,0
-2.9,-2.95,NaN,0
-2.85,-2.95,NaN,0
-2.8,-2.95,NaN,0
-2.75,-2.95,NaN,0
-2.7,-2.95,NaN,0
-2.65,-2.95,NaN,0
-2.6,-2.95,NaN,0
-2.55,-2.95,NaN,0
-2.5,-2.95,NaN,0
-2.45,-2.95,NaN,0
-2.4,-2.95,NaN,0
-2.35,-2.95,NaN,0
-2.3,-2.95,NaN,0
-2.25,-2.95,NaN,0
-2.2,-2.95,NaN,0
-2.15,-2.95,NaN,0
-2.1,-2.95,NaN,0
-2.05,-2.95,NaN,0
-2,-2.95,1.99499999997205,1
-1.95,-2.95,1.99499999994378,1
-1.9,-2.95,1.99499995313888,1
-1.85,-2.95,1.99499997824885,1
-1.8,-2.95,1.99499998792376,1
-1.75,-2.95,1.99499999103794,1
-1.7,-2.95,1.99499999176912,1
-1.65,-2.95,1.99499998977237,1
-1.6,-2.95,1.99499998706963,1
-1.55,-2.95,1.99499999999169,1
-1.5,-2.95,1.99499999998943,1
-1.45,-2.95,1.9949999999867,1
-1.4,-2.95,1.99499999998319,1
-1.35,-2.95,1.99499999997831,1
-1.3,-2.95,1.99499999999274,1
-1.25,-2.95,1.9949999999832,1
-1.2,-2.95,1.99499999996313,1
-1.15,-2.95,1.99499999992336,1
-1.1,-2.95,1.99499999984914,1
-1.05,-2.95,1.99499999999596,1
-1,-2.95,1.99499999999998,1
-0.95,-2.95,1.99499999999971,1
-0.9,-2.95,1.995,1
-0.85,-2.95,1.99499999999999,1
-0.8,-2.95,1.9949999999968,1
-0.75,-2.95,1.995,1
-0.7,-2.95,1.99499999999999,1
-0.65,-2.95,1.99499999999999,1
-0.6,-2.95,1.99499999999926,1
-0.55,-2.95,1.99499999999992,1
-0.5,-2.95,1.99499999998048,1
-0.45,-2.95,1.99499999999984,1
-0.4,-2.95,1.99499999981114,1
-0.35,-2.95,1.99499999989524,1
-0.3,-2.95,1.99499999994423,1
-0.25,-2.95,1.9949999999715,1
-0.2,-2.95,1.99499999998603,1
-0.15,-2.95,1.99499999999344,1
-0.0999999999999996,-2.95,1.99499999999706,1
-0.0499999999999998,-2.95,1.99499999998805,1
0,-2.95,1.99499999999091,1
0.0499999999999998,-2.95,1.99499999999305,1
0.0999999999999996,-2.95,1.9949999999947,1
0.15,-2.95,1.99499999999601,1
0.2,-2.95,1.99499999999707,1
0.25,-2.95,1.9949999999979,1
0.3,-2.95,1.99499999708185,1
0.35,-2.95,1.99499999804682,1
0.4,-2.95,1.99499999874709,1
0.45,-2.95,1.99499999923535,1
0.5,-2.95,1.99499999964082,1
0.55,-2.95,1.9949999998098,1
0.6,-2.95,1.99499999984875,1
0.65,-2.95,1.99499999990817,1
0.7,-2.95,1.99499999994156,1
0.75,-2.95,1.99499999996232,1
0.8,-2.95,1.99499999997554,1
0.85,-2.95,1.99499999998477,1
0.9,-2.95,1.99499999999195,1
0.95,-2.95,1.99499999434579,1
1,-2.95,1.99499999915001,1
1.05,-2.95,1.9949999999247,1
1.1,-2.95,1.99499993365812,1
1.15,-2.95,1.9949998226652,1
1.2,-2.95,1.99499952633742,1
1.25,-2.95,1.99499999963451,1
1.3,-2.95,1.9949999949109,1
1.35,-2.95,1.99499994174978,1
1.4,-2.95,1.99499919406152,1
1.45,-2.95,1.99499950746143,1
1.5,-2.95,1.98146598606855,1
1.55,-2.95,1.95112000978295,1
1.6,-2.95,1.92077062972318,1
1.65,-2.95,1.89042136905676,1
1.7,-2.95,1.86007205507392,1
1.75,-2.95,1.8297227102787,1
1.8,-2.95,1.79937327867291,1
1.85,-2.95,1.76902404928246,1
1.9,-2.95,1.73867476362416,1
1.95,-2.95,1.70832545677598,1
2,-2.95,1.67797614237828,1
2.05,-2.95,1.64762682547414,1
2.1,-2.95,1.61727750765088,1
2.15,-2.95,1.58692818954352,1
2.2,-2.95,1.55657887131933,1
2.25,-2.95,1.52622955303503,1
2.3,-2.95,1.4958802347143,1
2.35,-2.95,1.46553086421125,1
2.4,-2.95,1.43518158744732,1
2.45,-2.95,1.40483229267882,1
2.5,-2.95,1.37448299227623,1
2.55,-2.95,1.34413369097372,1
2.6,-2.95,1.31378439007983,1
2.65,-2.95,1.28343509069553,1
2.7,-2.95,1.25308579349704,1
2.75,-2.95,1.22273636941251,1
2.8,-2.95,1.19238705106382,1
2.85,-2.95,1.16203773272436,1
2.9,-2.95,1.13168841439353,1
2.95,-2.95,1.10133909607313,1
3,-2.95,1.07098977776521,1
-3,-2.9,NaN,0
-2.95,-2.9,NaN,0
-2.9,-2.9,NaN,0
-2.85,-2.9,NaN,0
-2.8,-2.9,NaN,0
-2.75,-2.9,NaN,0
-2.7,-2.9,NaN,0
-2.65,-2.9,NaN,0
-2.6,-2.9,NaN,0
-2.55,-2.9,NaN,0
-2.5,-2.9,NaN,0
-2.45,-2.9,NaN,0
-2.4,-2.9,NaN,0
-2.35,-2.9,NaN,0
-2.3,-2.9,NaN,0
-2.25,-2.9,NaN,0
-2.2,-2.9,NaN,0
-2.15,-2.9,NaN,0
-2.1,-2.9,NaN,0
-2.05,-2.9,1.9949999999721,1
-2,-2.9,1.99499999993633,1
-1.95,-2.9,1.99499994648479,1
-1.9,-2.9,1.99499997547698,1
-1.85,-2.9,1.99499998541115,1
-1.8,-2.9,1.99499998951925,1
-1.75,-2.9,1.99499998755663,1
-1.7,-2.9,1.99499998462193,1
-1.65,-2.9,1.9949999999903,1
-1.6,-2.9,1.9949999999878,1
-1.55,-2.9,1.99499999998467,1
-1.5,-2.9,1.99499999998051,1
-1.45,-2.9,1.99499999997435,1
-1.4,-2.9,1.99499999998834,1
-1.35,-2.9,1.99499999997372,1
-1.3,-2.9,1.99499999994392,1
-1.25,-2.9,1.99499999988676,1
-1.2,-2.9,1.99499999999859,1
-1.15,-2.9,1.9949999999826,1
-1.1,-2.9,1.99499999999989,1
-1.05,-2.9,1.99499999999874,1
-1,-2.9,1.99499999999954,1
-0.95,-2.9,1.995,1
-0.9,-2.9,1.9949999999999,1
-0.85,-2.9,1.995,1
-0.8,-2.9,1.99499999999974,1
-0.75,-2.9,1.99499999999834,1
-0.7,-2.9,1.99499999999981,1
-0.65,-2.9,1.99499999999998,1
-0.6,-2.9,1.99499999999491,1
-0.55,-2.9,1.99499999976585,1
-0.5,-2.9,1.99499999986728,1
-0.45,-2.9,1.99499999992773,1
-0.4,-2.9,1.99499999996217,1
-0.35,-2.9,1.99499999998097,1
-0.3,-2.9,1.99499999999081,1
-0.25,-2.9,1.99499999999574,1
-0.2,-2.9,1.99499999999812,1
-0.15,-2.9,1.99499999998945,1
-0.0999999999999996,-2.9,1.99499999999189,1
-0.0499999999999998,-2.9,1.99499999999378,1
0,-2.9,1.99499999999525,1
0.0499999999999998,-2.9,1.99499999999644,1
0.0999999999999996,-2.9,1.99499999999739,1
0.15,-2.9,1.99499999999814,1
0.2,-2.9,1.9949999974278,1
0.25,-2.9,1.99499999828661,1
0.3,-2.9,1.99499999890616,1
0.35,-2.9,1.99499999944351,1
0.4,-2.9,1.99499999968635,1
0.45,-2.9,1.99499999976182,1
0.5,-2.9,1.99499999986227,1
0.55,-2.9,1.99499999991321,1
0.6,-2.9,1.99499999994421,1
0.65,-2.9,1.99499999996368,1
0.7,-2.9,1.99499999997627,1
0.75,-2.9,1.99499999998519,1
0.8,-2.9,1.99499999999214,1
0.85,-2.9,1.9949999943486,1
0.9,-2.9,1.99499999909147,1
0.95,-2.9,1.99499999991876,1
1,-2.9,1.99499994938074,1
1.05,-2.9,1.99499986571262,1
1.1,-2.9,1.99499965147907,1
1.15,-2.9,1.9949997012711,1
1.2,-2.9,1.99499999786574,1
1.25,-2.9,1.99499997461491,1
1.3,-2.9,1.99499994006533,1
1.35,-2.9,1.99499999968908,1
1.4,-2.9,1.99315122695632,1
1.45,-2.9,1.96280255378967,1
1.5,-2.9,1.93245322946059,1
1.55,-2.9,1.90210391363001,1
1.6,-2.9,1.87175460845005,1
1.65,-2.9,1.84140518802804,1
1.7,-2.9,1.81105575133525,1
1.75,-2.9,1.78070657192347,1
1.8,-2.9,1.75035730584005,1
1.85,-2.9,1.72000800652243,1
1.9,-2.9,1.68965869486211,1
1.95,-2.9,1.65930937894462,1
2,-2.9,1.62896006143547,1
2.05,-2.9,1.59861074344587,1
2.1,-2.9,1.56826142527485,1
2.15,-2.9,1.53791210702039,1
2.2,-2.9,1.50756278871899,1
2.25,-2.9,1.47721336401867,1
2.3,-2.9,1.44686410676718,1
2.35,-2.9,1.41651482316872,1
2.4,-2.9,1.38616552462299,1
2.45,-2.9,1.35581622125572,1
2.5,-2.9,1.32546691743092,1
2.55,-2.9,1.2951176142583,1
2.6,-2.9,1.26476831265025,1
2.65,-2.9,1.23441901319622,1
2.7,-2.9,1.20406960506759,1
2.75,-2.9,1.17372028671481,1
2.8,-2.9,1.14337096837033,1
2.85,-2.9,1.11302165003355,1
2.9,-2.9,1.08267233170589,1
2.95,-2.9,1.05232301338892,1
3,-2.9,1.02197369508488,1
-3,-2.85,NaN,0
-2.95,-2.85,NaN,0
-2.9,-2.85,NaN,0
-2.85,-2.85,NaN,0
-2.8,-2.85,NaN,0
-2.75,-2.85,NaN,0
-2.7,-2.85,NaN,0
-2.65,-2.85,NaN,0
-2.6,-2.85,NaN,0
-2.55,-2.85,NaN,0
-2.5,-2.85,NaN,0
-2.45,-2.85,NaN,0
-2.4,-2.85,NaN,0
-2.35,-2.85,NaN,0
-2.3,-2.85,NaN,0
-2.25,-2.85,NaN,0
-2.2,-2.85,NaN,0
-2.15,-2.85,NaN,0
-2.1,-2.85,1.99499999997131,1
-2.05,-2.85,1.99499999992804,1
-2,-2.85,1.99499994330771,1
-1.95,-2.85,1.99499997189812,1
-1.9,-2.85,1.99499998256653,1
-1.85,-2.85,1.99499998467465,1
-1.8,-2.85,1.99499999999085,1
-1.75,-2.85,1.99499999998869,1
-1.7,-2.85,1.99499999998593,1
-1.65,-2.85,1.9949999999823,1
-1.6,-2.85,1.99499999997722,1
-1.55,-2.85,1.99499999999205,1
-1.5,-2.85,1.99499999998158,1
-1.45,-2.85,1.99499999995959,1
-1.4,-2.85,1.9949999999162,1
-1.35,-2.85,1.99499999983569,1
-1.3,-2.85,1.99499999999389,1
-1.25,-2.85,1.99499999999996,1
-1.2,-2.85,1.99499999999953,1
-1.15,-2.85,1.99499999999998,1
-1.1,-2.85,1.99499999999997,1
-1.05,-2.85,1.995,1
-1,-2.85,1.99499999999985,1
-0.95,-2.85,1.99499999999531,1
-0.9,-2.85,1.99499999999634,1
-0.85,-2.85,1.99499999999957,1
-0.8,-2.85,1.99499999999995,1
-0.75,-2.85,1.99499999998838,1
-0.7,-2.85,1.99499999971295,1
-0.65,-2.85,1.99499999983399,1
-0.6,-2.85,1.99499999990765,1
-0.55,-2.85,1.99499999995056,1
-0.5,-2.85,1.99499999997453,1
-0.45,-2.85,1.99499999998737,1
-0.4,-2.85,1.99499999999398,1
-0.35,-2.85,1.99499999999725,1
-0.3,-2.85,1.99499999998782,1
-0.25,-2.85,1.99499999999062,1
-0.2,-2.85,1.99499999999275,1
-0.15,-2.85,1.99499999999442,1
-0.0999999999999996,-2.85,1.99499999999575,1
-0.0499999999999998,-2.85,1.99499999999682,1
0,-2.85,1.99499999999768,1
0.0499999999999998,-2.85,1.99499999670417,1
0.0999999999999996,-2.85,1.99499999773299,1
0.15,-2.85,1.99499999849682,1
0.2,-2.85,1.9949999991718,1
0.25,-2.85,1.99499999951615,1
0.3,-2.85,1.99499999972561,1
0.35,-2.85,1.99499999978423,1
0.4,-2.85,1.99499999987316,1
0.45,-2.85,1.99499999991766,1
0.5,-2.85,1.99499999994652,1
0.55,-2.85,1.99499999996489,1
0.6,-2.85,1.99499999997693,1
0.65,-2.85,1.99499999998557,1
0.7,-2.85,1.99499999999231,1
0.75,-2.85,1.99499999434766,1
0.8,-2.85,1.99499999903173,1
0.85,-2.85,1.99499999991168,1
0.9,-2.85,1.9949999612715,1
0.95,-2.85,1.99499989777393,1
1,-2.85,1.99499973850852,1
1.05,-2.85,1.99499987782411,1
1.1,-2.85,1.99499999910798,1
1.15,-2.85,1.99499998900869,1
1.2,-2.85,1.99499988548016,1
1.25,-2.85,1.99499999763707,1
1.3,-2.85,1.99499999940495,1
1.35,-2.85,1.97448506202724,1
1.4,-2.85,1.94413546383689,1
1.45,-2.85,1.91378644158398,1
1.5,-2.85,1.88343716039031,1
1.55,-2.85,1.8530874735488,1
1.6,-2.85,1.82273850770662,1
1.65,-2.85,1.79238907798428,1
1.7,-2.85,1.76203984128064,1
1.75,-2.85,1.73169055362293,1
1.8,-2.85,1.70134124636648,1
1.85,-2.85,1.6709919320862,1
1.9,-2.85,1.64064261510212,1
1.95,-2.85,1.61029329730157,1
2,-2.85,1.57994397920801,1
2.05,-2.85,1.54959466099255,1
2.1,-2.85,1.51924534271479,1
2.15,-2.85,1.48889602439955,1
2.2,-2.85,1.4585466157972,1
2.25,-2.85,1.42819734834238,1
2.3,-2.85,1.39784805906228,1
2.35,-2.85,1.36749875738472,1
2.4,-2.85,1.33714945156219,1
2.45,-2.85,1.30680014555371,1
2.5,-2.85,1.27645084035444,1
2.55,-2.85,1.24610153672539,1
2.6,-2.85,1.21575223518877,1
2.65,-2.85,1.18540293720154,1
2.7,-2.85,1.15505352236733,1
2.75,-2.85,1.1247042040184,1
2.8,-2.85,1.09435488567638,1
2.85,-2.85,1.0640055673424,1
2.9,-2.85,1.0336562490177,1
2.95,-2.85,1.00330693070396,1
3,-2.85,0.972957612403661,1
-3,-2.8,NaN,0
-2.95,-2.8,NaN,0
-2.9,-2.8,NaN,0
-2.85,-2.8,NaN,0
-2.8,-2.8,NaN,0
-2.75,-2.8,NaN,0
-2.7,-2.8,NaN,0
-2.65,-2.8,NaN,0
-2.6,-2.8,NaN,0
-2.55,-2.8,NaN,0
-2.5,-2.8,NaN,0
-2.45,-2.8,NaN,0
-2.4,-2.8,NaN,0
-2.35,-2.8,NaN,0
-2.3,-2.8,NaN,0
-2.25,-2.8,NaN,0
-2.2,-2.8,NaN,0
-2.15,-2.8,1.9949999999687,1
-2.1,-2.8,1.99499999991863,1
-2.05,-2.8,1.99499999996708,1
-2,-2.8,1.99499996726561,1
-1.95,-2.8,1.99499997999784,1
-1.9,-2.8,1.99499999998903,1
-1.85,-2.8,1.99499999998679,1
-1.8,-2.8,1.99499999998374,1
-1.75,-2.8,1.99499999997946,1
-1.7,-2.8,1.99499999999467,1
-1.65,-2.8,1.9949999999873,1
-1.6,-2.8,1.99499999997136,1
-1.55,-2.8,1.99499999993894,1
-1.5,-2.8,1.99499999987705,1
-1.45,-2.8,1.99499999999791,1
-1.4,-2.8,1.99499999999999,1
-1.35,-2.8,1.99499999999983,1
-1.3,-2.8,1.99499999999799,1
-1.25,-2.8,1.99499999999735,1
-1.2,-2.8,1.9949999999999,1
-1.15,-2.8,1.995,1
